user,comment
Saurabh Pandey,"हर पल का बदला लिया जायेगा, कश्मीरी पंडितो के साथ हुए अत्याचार का, मादरचोद को इसकी कीमत चुकानी पड़ेगी"
Sourabh Dasgupta,"Thats way i support modi...
Ab jnu wale azadi mang rhe h.
Kashmir wale azadi mange dekh liya kya hua.."
Sarvagya Saxena,yeh trailer kaun se SECULAR log dislike kr rhe ??
Jd Satpathy,Bad timing of trailer release.
roller costerr Fung,Bhai lutyens media walo ne dislike kiya
Siddharth sharma,First day first show💕
Akshay Gunjal,This is movies is hit ❤
Ritik Chauhan,"Hit like ....if u also feel the immense pain after watching the trailer,,,,,"
Priyesh Pandey,Its really painfull💔
Shrish Tiwari,It's good to see how someone life showed an act of courage to show this to masses. Kudos to the director.
Avinash Singh,At last some one has the courage to describe the injustice. Salute you SIR.
Alpa Trivedi,At least now we show our new generation how Kashmiri pandits actually felt pain ....
Manish Kumar,"I feel like crying 

And at the same time frying the left islamic combo"
Sajda Afshan,Heart touching 😭
shyam yadav,Less with words more vd tears after watch the trailer.
Veer Singh,"मुसलमानो ने वो कहर बरपाया था पंडितों पर

पर अब हमे चाहे पंडित,हो या जाट,ठाकुर,बनिया,sc/st  - सबको मरने मारने के लिए तैयार रहना चाहिए, काट डालों  सालो को"
Akash Dobhal,Watching people begging for likes on behalf of refugees breaks my heart
Ashutosh sharma,Never forget 1990
GTX 1050 Games & Benchmarks,Love from Kerala. I will watch this movie in theatre. 😍❤️
amar lulu,I would prefer to watch Rahul gandu on YouTube than Randdipa.😂🤣
killoreo,Thank for making this   so everyone has access to the other side of the story .
Manash Kumar Mahata,"""Hum kya chahte? Aazadi..""  same slogan was raised by Kanhaiya Kumar and sudo secular communist gang.."
rajeev ranjan,22 hajar wo disliker Jo sale gaddar h is desh me
Anisha Singh,Both the starring actors are muslim. This was really innovative 👏
Siddhartha Upadhyay,"Hind hamara hai 

Jai hind 
😥😥"
Neha Das,"22k dislikers are those kashmiri muslims🖕🖕🖕
Comment section dkho saalo ka muh hi band kardiya🤣🤣🤣
Jai shree ram🔥 
Jai hind🇮🇳"
varunn tyagi,कोन कोन इस मूवी को देखेगा ♥♥♥♥♥♥♥
vikas gupta,"Kripya sabhi log jitna jyada ho sake utna share kijia iis film ko pls 
Isme mera koi niji swarth nhi h 
#Kashmirpanditokikahani 
Trend kara do sabhi log milke 
Jai Hind"
Ak 47 ठोक के देंगे आजादी,"सेक्युलरिजम गया भाड में 😠😠😡😢😥
आज के बाद में कसम खाता हूं में और मेरा परिवार कभी सेक्युलर नहीं बनेगा
और हम आज से मुस्लिमो का आर्थिक बहिष्कार करेंगे।"
vaishally sharma,Finally someone came up the such a heart touching and realistic movie! Looking forward to it.
Manoj Kumar,True story true Indian.. this should come out to public the genocide of Kashmiri Pandits happened in Kashmir... Super Hit
AD EL,"What country are we living in guys???
Enough is enough!!!"
krishna mishra,Thanks for making this movie I'll definitely watch it in cinema ....which I never do....
Shahid Jamal,Ya Allah kaya aisa hi hua v v bad our kashmiri pandit Bhai Zindabad.
GAMER BY NATURE,Really a very heart touching movie
A Common Man,"Finaly someone who raised this thing
Love you Sir Vidu binod chopra."
Honey Wajpeye,"I really appreciate your effort. 👏 👏 
This a subject which is crucial to know and deserves to be put in a film..
Not like some rubbish movies.."
Vvk Entertainer,Very emotional. .very relevant. .one of the important history of Hindustan and Hindus ..😢😢
Gyan Manthan,"सब्सक्राइब चाहिए तो यहां लाइक करें 
#Gyanmanthanvocabulary
#Studynetwork"
Shantanu Pandey,This is about killing a thousand years old civilization
creative commons,One of the best trailer
Speed Z,One like for our kashmir 👇👇👇
Sarthak Deshmukh,Dislike करने वाले बता रहे है की अभी भी देश मै गद्दार जिन्दा है 🔥.....Huge Respect For Kashmiri Pandits..Who are Bearing tears Since 1990🇮🇳♥️
IAS Officer,A movie must to watch ...we have to learn from our past that if we didn’t unite now then every part of India slowly become like a Kashmir...jago hindustaniyon jago bhaiyon behno
Prakriti Tripathi,Broke my heart
Arpit Srivastava,bhadwo be dislike Kar Bhi dia
Shreya Sharma,"Whenever and wherever the Brahmins are killed and humiliated ,there will be absence of peace, prosperity and progress!"
Ketan Gauswami,Like comment fast Hindu jag jago jawab dena honga hume caa or nrc se
MOHD NADEEM,"I am too sad now..
Never got to know this much.... Ticket booking is sure"
vaibhav sharma,this broke me 😣😣
Daily INDIA,give them weapons revange should be avenged
Aashish Kumbhare,"Moast awaited important cinematography on kashmir's real hate which was started  to spread in the vally since 1000 years ago,and love which is started to spread after 5 Aug. 2019"
Arpit Upadhyay,"Thnx ""Shikara"" Team -आपके कारण हम उस वक़्त की सच्चाई जान पाएंगे जो उस सच्चाई को झुठलाते व दबाते हैं ।।।
देशप्रेमी कमेंट लाइक करे ।।।"
Mounica K,my eyes in tears
anand kapur,"22k 
Dislike this 
मतलब जयचंदो की कमी नहीं है देश में"
Alpa Trivedi,Defiantly must watch movies 👏👏
stupid learner,I extremely want to see this film
Manas Ranjan,"Hey ram
Kal app ke bhi Saath aisa na ho
Jago Hindu Jago
India ko Islamic country hone se bacho
Bjp jitao hinduto bachao
Jay hindi"
Rahul Shinde,"Wow... a story that needs to be told, so, we don't repeat it ever..."
Gangadhar Avaradi,All 22k has done thumsdown don't have heart only
Emr Jv,Wherever such things happens or happened I condemned. The ordinal Kashmiris should be placed in Kashmirs.
Hemant s88,Great one🙏🏻🙏🏻
Priya Singh,For 21k dislikers 🖕🏻
navieta lewis,Goosebumps 😢
Diganta pathak,"Just watched the number of dislikes,,, I am shocked 😡......"
Shivansh Mishra,Goosebumps ❣✌
Aakash Gupta,"This movie will uncover the truth.
Aur sach humesha galat logo ko chubhta hai , and dislike on this video proves it"
Ranveer Chauhan,I'm really happy to see the number of dislikes on this one. Really exhibits their peaceful mindset.
Desi Assassin,Dislike karne walo ki gaand me saki naka
Ankit Sinha,"When hate is all that is left, Love is your only weapon."
Samrat Biswas,True subject. 🙏
Rajib poudel,Many Records would be Broken
Bharatdwivedi Dwivedi,कांग्रेस की सरकार में फिल्म बनाने कि हिम्मत क्यों नहीं पड़ी कोई बताएगा
Suleman Ansari,Sabke sath nayay ho yahi ALLAH ka paigam hai....agar kisi ek ke sath bhi beimani hui wo sahi nayay nahi hai....hak Ka rasta mere NABI ko pasand hai..aur sabko sabka hak milna chahie
yoyo yo,First Kashmiri pandits and now western UP is on the same track...ye hai hi harami
rkr BALUSU,the TRUTH is always bitter. But an attempt of truth is always SWEET like this.. tq Mr. Vidhu Vinod Chopra... i just like your SINCERE effort.... GOOD LUCK to entire team..
Rajeev Kumar,Last dialogue was amazing
Sameer Bhatia,Finally someone has shown the courage to tell this story. Thank you Mr. Vidhu Vinod Chopra
Punjabi Beats,finally i movie showing reality
Priyanka ASmilingTuber,Is tym pr ye movie 😕😕
Sagar Teli,A must watch!
Aman,"Muslims: Behnchod
Extremists: Madarchod
Sickulars: Sabse bade Madarchod
Liberals: Maro behnchod inko pakad ke."
Mr roY,"आपस में हम अंजान है पर 3 शब्द जय श्रीराम बोलते ही लगता है जैसे आप मेरे सगे हैं
कोई भी छूटने ना पाए सब बोलिए जय श्रीराम
जय श्रीराम"
i love my india,I was crying
Mubasshir khan,Finally someone made a movie on the plight of kashmiri pandits.
Prem Kumar,"अब कहा गए जो आज कल आजादी मांग रहे है ,उन्ही का सरकार था तो क्यों कश्मीरी पंडितों को भगाया गया."
Suraj Lakhotra,Good to see such movies. Bollywood is changing ... 💥
Mansi Sharma,Awaiting this movie more than anything!
Saransh Garg,Amazing. 🙏💪
Hindi video guru,"कौन कौन देखेगा ये मूवी
शिकारा 💫💦"
Biprajit Dhar,"A burning episode of our country . Our generation needs to know our history , needs to know our past . A very powerful film indeed . Must watch for you ."
nandan kumar,Movie going to rock the records that created in past
sourabh mundra,"I don't know why but it gave me goosebumps, i hope kashmiri pandits get justice now"
Atul Mishra,Mai Hindu hu par mere ko Muslim se jyada dar to hindu logo se Lagta kyoki wo bhi Modi Ka support Nahi karte aise Hindu logo ko sharm aani chahiye ..........Jai Shree Ram.
geetanshu sharma,Finally after 3 decades of this incidence someone decide to release this movie in so called secular bollywood who always support particular community in the name of secularism. Tb kaha chle jaate hai seculars jb ek community ke saath atyachaar hota h i love this trailer.and thank you for releasing this movie
Your travel sathi,Avi ek bhi mushalman comment nhi karega ayese ye aag lagaye firte h or democracy ki baat karte.
Ujjwal kumar,I m crying 😢😢😢😢😢
Umesh Naik,Heartbreaking
Ajay Choudhary,I am waiting for movie so long time
Niki Shah,"Ohhh so sad for those, very nice movie to watch"
Md azharuddin,I appreciate this trailer
Rudraksh Singh,"MAARO LIKE.. JAI SHRI RAM.. 
😂Mere Ghr Mei Rehkr, Mjhe Hi Be Ghar Krne Wale..
Tjh Jsi Neeyat Wale Na Jàne Kitne BHOSDIWALO Ki KABAR Pr Mera Bageecha Roshan H..
BETICHOD Aazadi Maangte H, Kyoki Jànte H Bheekh Mei Pakistan, Bangladesh Mil Gya.."
Avijit Ghosh,We want open truth reality refuges.if some people seen heartbroken event in life..........☹️
Shiv Tiwari,"उम्मीद करता हूँ कि सच देखने को मिले!!
डर के मारे secularism का तड़का ना मार दिया हो!!"
Crazy Cookery,The trailer seriously gave me goosebumps. That date still seems like a bad nightmare.
Mateen m.,And I liked this trailer also
Satish D,This was long awaited story to be told... at last
Sajda Afshan,Powerful concept with good actors
Sanjay Bagal,Ye 22k dislike karnewale gaddar hai..ine sharam ani chahiye
Arnab Sam,"আমিও বাঙালী হিন্দু.......❤️🚩🕉️বাংলাদেশে আজ‌ও হিন্দুদের উপর অকথ‍্য নির্যাতন চলে....হিন্দু মেয়েদেরকে জোর করে তুলে নিয়ে গিয়ে ধর্ষণ করা হয়....ঘরবাড়ি পুড়িয়ে দেওয়া হয়.......জোর করে মেয়েদের ধর্ম পরিবর্তন করে ষাট বছরের মুসলিম মোল্লার সঙ্গে বিয়ে করতে বাধ‍্য করা হয়। হিন্দুদের অবস্থা শোচনীয়। 10 বছরের মধ‍্যে বাংলাদেশ হিন্দুশূন‍্য হবে....মুসলিমরা fake ফেসবুক অ্যাকাউন্ট বানিয়ে হিন্দুর নাম দিয়ে ইসলামের নামে খারাপ কথা বলে...আর মুসলিম জনতা হিন্দুদের আক্রমণ করে...দেশ ছাড়তে বাধ‍্য করে...হিন্দুদের জন‍্য বাংলাদেশে কোনো আইন নেই, প্রশাসন নেই...পুলিশ অভিযোগ শোনে না, তদন্ত করে না কারন তারাও মুসলিম। এখানে হিন্দুরা ভোট‌ও দিতে পায় না। মুসলিমদের লোকেরা শাসিয়ে যায়।😥😥😥😫😫"
Belwinder Luthra,Jai Shri Ram. Jai Shri Modi Jai Shri Amit Shah. One like for all.
Prateek Sharma,I dont trust this trailer...we have been fooled before....
Rabindrakumar Bhoi,"Woooow
What a movie trailer 
Just fabulous"
AA ENTERTAINMENT,"Hindu muslim krne wali ek or film

#Aathoo"
akhil sharma,"370+CAA+NRC - Bkl azaadi de ke rahenge sab ko .... 


Jai hind 
Namo namo"
Mahipal Gariya,"NOW SOME WILL COME , AND  DECLARE IT BJP AJENDA 😂
BUT NO WORRIES , WE HAVE BRAIN ."
Vinay Nuka,I now understand why Sadhguru said CAA is too little compassion coming too late!! 😢
Lucky Rajpoot,Yhi Congress ka sch h party buri nhi h bt jo hua usko chup-chap dekhti rhi-No violence sidhant follow kiya
aqua man,Will definitely go to watch this movie..👍🏼
VIGNESHWAR R,Arr bgm🔥🔥🔥🔥🔥🔥🔥🔥
GRIM REAPER,"As there is internet shutdown since last 150 days in Kashmir 🍁, otherwise kashmiris would have answered/replied every comment here.."
Santhosh Rai Mangalore,"This shows how badly india went wrong hands after independence 
Nehru Indira whole Congress destroyed this hindustan"
Abhishek Kumar,Dislike karne wale ya toh mulle honge ya cab ke virodhi
sharwanr,Kudos to the film maker!
VIRAJ MORABIA,01:03 When a hindu lady feels unsafe in her own country because of religion!
ravi kant Awasthi,Thanks for making movie on this topic
Bhola Kumar sahu,जुल्म करते समय जेहादी क्या नारा लगा रहे यह भी दिखाया गया है ।ताकि पुरी दुनिया विशेष तौर पर भारत के धर्म निपेक्ष का ढफली. बजाने वाले लोग जान जाय ये कौन थे।
Avnindra Kavin,You Should release this on 9TH February...🙏
RV Channel,Impressive script 👏👏👏
Himanshu Chaturvedi,"इतिहास गवाह है ..
नमक हरामों ने सदा से --
नमक की कीमत, कुछ यूं चुकाई है
जहां का खाया, वही पे आग लगाई है।🙏🙏🙏🇮🇳"
MASTER,Salute to director
R world,"Sad majority  survive always
It's only possible in india. 
Incredible india. Divided majority"
Deshraj Bhilwal,Itne likes aur comments aane chahiye taki ye #1 pr aajaye
Belwinder Luthra,One like for CAA and NCR
the fighter,"Sanju bhi real events pe tha😑 
Don't exploit the emotions of people"
Rupesh B,सच मी काश्मिरी पंडित ko बहोत यातना सहन करणे padi...
Ranjeet Mandal,शिकारा फ़िल्म देख सकते है सभी लेकिन जो फ़िल्म हिन्दु विरोधी है वैसे फ़िल्म को बहिष्कार करे जय श्री राम
NISHANT BAGHEL,Actress seems promising
Rambo A,You are repated same thing in CAA
Balat :,"Blood boiling listening to mahboba muftis voice... For their dirty politics they destroyed lives of 400000 Kashmiri pandits.
My heart is crying...."
RAM PRASAD,Awaiting release
MrUmesh86,Finally somebody had the guts to bring to the bigger platform what Kashmiri pandits went through.
Manash Kumar Mahata,I watched it for 100 times..
Intelligent Bureaucrat,"everybody is bought by BJP in their favour during their tenure, never expected it goes till the level of intellectual like vidhu vinod chopra"
Spider Tiger,1:27 cried...
JusAUL,We need to spread love we need to stop hating each other that is what is needed
Sanjay Kumar,Every Indian should watch this movie
Dr Vivek Sharma,"This is always the story when the 'peacefuls' are in majority......they are the real face of Hate, Intolerance, terror and regression.....barbaric lot!
   Poor Kashmiri Pandits.....been through such hell....not a single Sickular, leftist , pseudo-liberal pig or  Congi will shed a tear for them."
Umesh Daksh,"इतिहास गवाह है मुस्लिमो ने हमेशा से हिंदुओ पर अत्याचार किया है और कर रहें हैं । पाकिस्तान , अफगानिस्तान , बांग्लादेश और कश्मीर इसका ताजा उदहारण है। 😥"
avin nithin Quadros,I hope this movie brings light to Hindu pundits who suffered and souls that departed
Harsh Aryan,"80 lakh Kashmiri Muslims ki Human right Ki baat Hoti hain
But 10 lakh Kashmiri Pandits ki human Rights ke liye koi samne nhi aata
Koi protest bhi nhi karta
Kashmiri Pandits Ko unke adhikaar vapas diye jaae Kashmir main"
Ashwani Chandra,A history conveniently forgotten.
Rahul Limbu,"They never show us the reality
They are too busy to collect sympathizers 
And you are just a fool
STOP IMPERIALISM INDIA
Go Back India"
Vishnu Bose,ये उन सभी बुद्धिजीवियों को देखनी चाहिए जो अवार्ड वापसी करते है किसी एक अल्पसंख्यक के मर जाने पर......😢😢😢😢😢😢😢
brijesh trehan,Goosebumps
Ishita inderpreet,Best❤
Harsh Joshi,Salute to Vidhu vinod chopra sir.!! Really need to watch this
Deepak Singh,"Hum Kya Chahte...... ??????
Azaaadiiii......
👉 Aatankvaad Se Azaadi.....!!
👉 Vampanth Se Azaadi........!!
👉 Gaddaro Se Azaadi...........!!
👉 Algaavvaad Se Azaadi......!!

Jai Shree Ram 🚩🚩"
Sanjay Singh,Change has began in indian cinema🙌🙌👍
KRISHNA Krishna,A tight Slap on so called secularists who were mum on the murder of thousands of *Kasmiri Pandits*.
Ranjeet Saini,"Now it's time to take the revenge of 1990.
Thanks modi ji for abrogation of article 370."
Aryan Singh,"It has only two solutions for this problem :
1. Convert them all to sanatan dharm, sikh, jain, buddhism etc.

2. Never let them grow from minority to majority..Heck not even close to equal in population"
Sushmita Shrestha,First time seen promoting a movie trailer by director's name....ok...that's new
Deepak Gupta,Ye movie Hindu Muslim Bhai Chara ka Jo agenda h ganga jamuna tahjib ki Pol khol degi...ab BTA degi....zihadi soch islamic kattarpanthi..Kya h...
omkar virupaxi,Hindu should take Military Training🤔.
Ved Singh,भारत के काले दिन का चित्रण जो कांग्रेस के शासन काल मे ये दर्द नाक घटना घटित हुई थी ।
Vidhyut,Movie shows future of india when minority turns to majority
VS Vinay vishwakarma,😞😥😥😥😥😭😭😭 Bhut hi drd bhara rha hoga wo time..... Jb hmare hindu bhaiyo k sath hua....... 😭😭😞😞
D Sinha,Trailer ne goosebumps de diya 🔥🔥
syed ahtesham ulla,This is right time to release movie
Mateen m.,"For your kind information

Is moving me 
Hero 
Heroin
Music director

Sab Muslim hai 

Aor hum sab Muslim Jo galat hua hai uske against hai"
Vishal Kumar,Extreme finds
Nayan Kumar,अच्छा हुवा की पिक्चर ही निकाल ली काश्मीर पण्डित के पलायन पे.....अब सब सेक्युलर लोगो को ये movie bohot kuch sikhayegi....
janand swamy,Thanks to this movie
oojus chaudhary,This is gonna be another gem by vidhu vinod chopra...
Harsh Aryan,Dislikes from JNU tukde gang deshdrohi
Mrinal Singh,"Dekh k roona aata hai,par ye seculars ko nahi dikhta😭"
Bharat Parit,Rape scene toh Nahi dekaye isme if iam right .like
Robin Kumar,"This is the perfect time to take revenge against radical islam wake up Hindu wake up.
Support MODI!!!!!"
Horizon Academy,Good work sir. Movie at right time. I never meet any pandit but my frnd jiju father is pandit and he left his all in kashmir.
shamama farooquie,Whatever happened with them is condemnable 😞
Anirban Samanta,I keep on reading the title Shakira (the singer)!
kundan ojha,Surely gonna watch this masterpiece... I mean i am speechless after watching trailer I can only imagine what KP had faced what they went through can break anyone from inside but still they didn't pick weapon instead worked hard n proved themselves... Hatts off to all KP's👏👏🙏🙏
shiv prakash mishra,Dislike Karne wale madherchod Des ke gaddar hai
Captain JackSparrow,"Too much prapogenda film..
New topic pe film bnao"
saim sumit,"Iss ko bhi unlike itna jyada 
Kyu ?
Agar problem hai to chhod ke chale jao yaha se"
UNFAKEPAN,Better Late Than Never.. Thnku Producers..
apurva deshpande,I literally cried while watching this trailer...must watch movie...
Harsh Mota,"1990 में कश्मीरी पंडितों पर हुए अत्याचारों को दिखाने वाली फिल्म ""शिकारा"" 7 फरवरी 2020 को रिलीज हो रही है देखने जरूर जाइए!
🙏🙏🙏"
Nikki 007,Pain 💔
Manjeet Singh,"कश्मीरी पंडितो हम शर्मिन्दा हैं!
तुम्हारे कातिल अभी तक ज़िंदा हैं!

Respect for you Chopra Sir, So Called Secular Bollywood में रहते हुए इस मुद्दे पर आपने फ़िल्म बनायी! 🙏🙏🙏🙏"
roshan mg,"The guy shouting ""azadi"", resembles kanaiya Kumar, pseudo seculars"
Naveen Lohia,"इस देश मे जिस बंदे को तकलीफ है,वो जा सकता है इस देश को छोड़कर।पाकिस्तान, बंगलादेश, अफगानिस्तान ,शायद उनको वहाँ पर आजदी मिल जाए।एक तरफ का किराया हम देंगे।😊"
MANISH MULWANI,I can also see the pain of dislikers 😠😠
rohit gupta,Kashmiri panditon ko phir se Kashmir mein basaya jay..
kaustubh tayde,"Thanks to current Government 

Bss kuch din aur , phir mufti baai Ka muft wala kotha khulwadegi ye government Kashmir me"
Nitin Nautiyal,This is true story which is not telicasted by any media ☹️ what they highlight is delhi n only delhi 🤬
Raj Dalvi,"""When hate is all that is left, love is your only weapon!"" Wow. What is it to know the agony of being a refugee in your own country? Isn't this the question we all are struggling to answer now. Nobody can better answer it than 'Kashmiri Pandits!' Can't wait. Some of the shots in the movie are just cinematic brilliance. Let's hope this movie brings in never before seen perspective and stays as authentic as possible and doesn't do a 'Mission Kashmir' on us. :P"
Sharad Vashishth,I know our religion teaches us to  love and forgive but there are some people who just can't be forgiven. Justice should be done . People should be dealt accordingly.
ram krishnan,Finally a film about the poor pandit!
suraj singh,इस्लाम एक आतंकवादी जिहादी संगठन है जो सभी नान मुस्लिमों को मार देना चाहता है
Zaira Adela,Where are the JNU Protesters now who were busy speaking against CAA NRC and giving anti national slogans?
Navneet Golu,Very emotional...
Mohan Singh Gurjar,Salute to you sir for your bravery
Niranjan Panchal,Jai Hind
rajat chhikara,To all my hindu brothers - kab tak caste pe ladte rehoge..... kab jaagega desh ka hindu 😔😓
Maadhav Ashish,This movie shows the pain of kashmiri pandits
chetan soni,Dont know why i feel both the debutant will blaze the screens with their performances.
INDIAN ARMY S INVINCIBLE,"yeh aaj jnu r amu me jaane wale bollywood k maadarjat tab kaha the jab humare Hindu bhai behno ko kashmir me beizzat kia r maara gaya...
Saara bollywood gaddar hai..."
Md Fahim,Kashmiri Pandito ko Jld se Jld unka huk mile
N Patel,Come on Liberal marhercoods where is your outrage ?
Abhishek Bharadwaj,The future of all Hindus in India. Don't worry. Your time will come soon.
Durgadas s,എല്ലാവരും കണ്ടിരിക്കേണ്ട ചിത്രം
Poonam Singh,"Aazadi sun kr to tukde tukde gang yd aa gya
Agar hm aaj na samje to kasmiri pandito vala hal Hoga
Jaihind jaibharat"
Qurrat Ali,😣😔😟Very sad for my pandit brothers and sisters... 💓
Abhi Kadam,Kaha gaye liberal dekho aab bolo dogli aulado
N. K. Maurya,👌🏻👌🏻👌🏻🔥🔥🔥🔥🔥🔥🔥
19rohitash,not surprised why there is one section not commenting on this trailer. 😅
